	Season	HomeTeam	AwayTeam	Sentence	Allocation
13	13/14	Liverpool	Swansea City	he be will confident of improvement on his first outing he be will confident of improvement as manager he be will confident of improvement on his first outing here as manager he be will confident he be will confident of improvement on his first outing as manager he be will confident of improvement on his outing as manager 7-1 defeat is with southampton he be will confident of improvement on his first outing here he be will confident of improvement on his outing here as manager he be will confident of improvement on his outing he be will confident of improvement on his outing here garry monk has visit he be will confident of improvement 7-1 defeat is in january 1999 swansea has first defeat in four matches under monk swansea 's first defeat is in four matches under monk weekend 's fa cup defeat to everton last weekend has fa cup last weekend 's fa cup defeat to everton	Swansea City
14	13/14	Newcastle United	Aston Villa	warm weather training break is in portugal them good than month 's trip to abu dhabi it done them good it done them more good than last month 's trip to abu dhabi it done them good than month 's trip it done them more good than last month 's trip them more good than month 's trip it done them good than month 's trip to abu dhabi them good than last month 's trip to abu dhabi it done them good than last month 's trip them good than month 's trip last month than trip to abu dhabi them good than last month 's trip it done them more good than month 's trip it done them more good than month 's trip to abu dhabi it done them more good them more good than month 's trip to abu dhabi it done them good than last month 's trip to abu dhabi them more good than last month 's trip them more good than last month 's trip to abu dhabi alan pardew 's team score goal alan pardew 's team have failed returning alan pardew has team pardew is under pressure newcastle has crowd	Newcastle United
15	13/14	Newcastle United	Aston Villa	warm weather training break is in portugal villa have returned from warm weather training break villa have just returned from weather training break in portugal villa have returned from weather training break in portugal villa have returned from weather training break villa have returned from warm weather training break in portugal villa have just returned from warm weather training break villa have just returned from warm weather training break in portugal villa have just returned from weather training break last month than trip to abu dhabi alan pardew 's team score goal alan pardew 's team have failed returning alan pardew has team	Aston Villa
16	13/14	Norwich City	Tottenham Hotspur	midfielder jonny howson help him norwich manager ease pressure midfielder jonny howson returning from injury midfielder jonny howson returning from back injury disappointing loss is in their last outing they were rested they were rested against dnipro they were rested on thursday they were rested against dnipro on thursday	Norwich City
17	13/14	Norwich City	Tottenham Hotspur	disappointing loss is in their last outing they were rested they were rested against dnipro spurs maintain their push tim sherwood will welcome back emmanuel adebayor rested against dnipro tim sherwood will welcome emmanuel adebayor rested against dnipro on thursday they were rested spurs look tim sherwood will welcome back hugo lloris tim sherwood will welcome back hugo lloris rested on thursday they were rested on thursday tim sherwood will welcome hugo lloris tim sherwood will welcome hugo lloris rested tim sherwood will welcome hugo lloris rested against dnipro on thursday tim sherwood will welcome emmanuel adebayor rested against dnipro tim sherwood will welcome back hugo lloris rested against dnipro on thursday they were rested against dnipro on thursday tim sherwood will welcome emmanuel adebayor rested on thursday tim sherwood will welcome back emmanuel adebayor tim sherwood will welcome back emmanuel adebayor rested tim sherwood will welcome hugo lloris rested on thursday tim sherwood will welcome back hugo lloris rested against dnipro tim sherwood will welcome back emmanuel adebayor rested on thursday tim sherwood will welcome emmanuel adebayor rested tim sherwood will welcome back emmanuel adebayor rested against dnipro on thursday tim sherwood will welcome emmanuel adebayor spurs maintain their top-four push tim sherwood will welcome hugo lloris rested against dnipro tim sherwood will welcome back hugo lloris rested	Tottenham Hotspur
18	13/14	Aston Villa	Norwich City	relations been have strained ever paul lambert left norwich for villa relations been have strained paul lambert left norwich in 2012 paul lambert left norwich clubs are desperate wes hoolahan join villa clubs are desperate for points climb game carries significance wes hoolahan join villa in january	Aston Villa
19	13/14	Aston Villa	Norwich City	relations been have strained ever relations been have strained paul lambert left norwich in 2012 paul lambert left norwich grant holt is likely wes hoolahan wanted likely clubs are desperate wes hoolahan join villa grant holt be among villa wes hoolahan join villa from norwich clubs are desperate for points climb game carries significance wes hoolahan join villa in january	Norwich City
20	13/14	Cardiff	Fulham	failure get result against only team failure get result against team failure get result against only team below them ole gunnar solskjaer has team only team is in table failure get result against team below them one would feel next up one would feel with everton failure get result against only team in table failure get result against team below them in table failure get result failure get result against team in table failure get result against only team below them in table	Cardiff
21	13/14	Cardiff	Fulham	failure get result against only team failure get result against team failure get result against only team below them only team is in table failure get result against team below them one would feel next up one would feel with everton failure get result against only team in table failure get result against team below them in table failure get result failure get result against team in table failure get result against only team below them in table fulham 's manager is felix magath fulham has new manager	Fulham
22	13/14	Crystal Palace	Southampton	tony pulis ' side saddled with record against division 's current top-nine teams tony pulis ' side remain saddled with dreadful record against division 's top-nine teams crystal palace of more winnable remaining home fixtures tony pulis ' side saddled with record tony pulis ' side saddled with record against division 's top-nine teams tony pulis ' side remain saddled with record against division 's current teams tony pulis ' side remain saddled with record against division 's top-nine teams tony pulis ' side saddled with record against division 's teams tony pulis ' side saddled with record against division 's current teams tony pulis ' side saddled with dreadful record against division 's current top-nine teams tony pulis ' side remain saddled with dreadful record against division 's current top-nine teams tony pulis ' side remain saddled with dreadful record against division 's teams tony pulis ' side remain saddled tony pulis ' side remain saddled with record tony pulis ' side saddled with dreadful record against division 's top-nine teams tony pulis ' side remain saddled with record against division 's current top-nine teams division against current top-nine teams tony pulis ' side remain saddled with dreadful record tony pulis ' side saddled with dreadful record against division 's teams tony pulis ' side saddled with dreadful record against division 's current teams tony pulis ' side remain saddled with dreadful record against division 's current teams tony pulis ' side remain saddled with record against division 's teams tony pulis ' side saddled with dreadful record point remains their reward in 12 games with marouane chamakh lot hitting ground running point remains their only reward in 12 games against teams with marouane chamakh reward is with marouane chamakh hamstrung point remains their reward with marouane chamakh point remains their reward point remains their reward with marouane chamakh hamstrung point remains their reward in 12 games with marouane chamakh hamstrung point remains their only reward in 12 games against teams point remains their only reward in 12 games with marouane chamakh hamstrung point remains their reward in 12 games against teams with marouane chamakh point remains their only reward point remains their reward in 12 games against teams with marouane chamakh hamstrung point remains their only reward in 12 games with marouane chamakh point remains their only reward with marouane chamakh lot will depend upon glenn murray point remains their reward in 12 games against teams point remains their only reward with marouane chamakh hamstrung point earned at home point earned at home everton point remains their reward in 12 games point remains their only reward in 12 games point remains their only reward in 12 games against teams with marouane chamakh hamstrung their players is in midweek that disrupted their preparations	Crystal Palace
23	13/14	Crystal Palace	Southampton	division against current top-nine teams reward is in 12 games against teams from southampton up point remains their reward in 12 games against teams from southampton up with marouane chamakh hamstrung point remains their reward in 12 games with marouane chamakh lot hitting ground running point remains their only reward in 12 games against teams with marouane chamakh point remains their only reward in 12 games against teams from southampton reward is with marouane chamakh hamstrung point remains their only reward in 12 games against teams from southampton up point remains their reward in 12 games against teams from southampton with marouane chamakh point remains their reward with marouane chamakh point remains their reward point remains their reward in 12 games against teams from southampton point remains their reward with marouane chamakh hamstrung point remains their reward in 12 games with marouane chamakh hamstrung point remains their only reward in 12 games against teams from southampton with marouane chamakh hamstrung point remains their only reward in 12 games against teams point remains their reward in 12 games against teams from southampton up point remains their only reward in 12 games with marouane chamakh hamstrung point remains their only reward in 12 games against teams from southampton up with marouane chamakh hamstrung point remains their reward in 12 games against teams with marouane chamakh point remains their only reward point remains their reward in 12 games against teams with marouane chamakh hamstrung point remains their only reward in 12 games with marouane chamakh point remains their only reward with marouane chamakh point remains their only reward in 12 games against teams from southampton with marouane chamakh point remains their reward in 12 games against teams point remains their reward in 12 games against teams from southampton up with marouane chamakh point remains their only reward with marouane chamakh hamstrung point earned at home point earned at home everton point remains their reward in 12 games against teams from southampton with marouane chamakh hamstrung point remains their reward in 12 games point remains their only reward in 12 games point remains their only reward in 12 games against teams with marouane chamakh hamstrung point remains their only reward in 12 games against teams from southampton up with marouane chamakh saints will will buoyed by recognition gained by their players their players is in midweek saints will will buoyed by international recognition saints will will buoyed saints will will buoyed by international recognition gained saints will will buoyed by recognition gained by their players in midweek that disrupted their preparations saints will will buoyed by recognition saints will will buoyed by international recognition gained by their players saints will will buoyed by recognition gained saints will will buoyed by international recognition gained by their players in midweek	Southampton
24	13/14	Norwich City	Stoke City	games norwich get result they are games norwich get result them overtaken by norwich	Norwich City
25	13/14	Norwich City	Stoke City		Stoke City
26	13/14	Aston Villa	Chelsea	he spoke on friday he must recognise their credentials teams is in top 10 he must publicly recognise their credentials	Aston Villa
27	13/14	Aston Villa	Chelsea	chelsea has chances jose mourinho play down chelsea 's chances he spoke on friday he must recognise their credentials teams is in top 10 he must publicly recognise their credentials	Chelsea
28	13/14	Fulham	Newcastle United	german was plunged into mess german was plunged his three games is in charge new year 's day could lie in attitude fulham has best hope getting new year has day new year 's day could lie in attitude of their opponents	Fulham
29	13/14	Fulham	Newcastle United	german was plunged into mess german was plunged his three games is in charge new year 's day could lie in attitude new year has day new year 's day could lie in attitude of their opponents	Newcastle United
30	13/14	Hull City	Manchester City	time were in in chance of quadruple time were in week in chance of quadruple time were in week in chance time were in in chance time were in in chance of unprecedented quadruple time were in week in chance of unprecedented quadruple time were in last week in chance time were in last week in chance of unprecedented quadruple time were in last week in chance of quadruple it will will intriguing	Hull City
31	13/14	Hull City	Manchester City	time were in in chance of quadruple time were in week in chance of quadruple time were in week in chance time were in in chance manchester city were in last week in chance of unprecedented quadruple time were in in chance of unprecedented quadruple manchester city were in week in chance time were in week in chance of unprecedented quadruple manchester city were in in chance manchester city were in last week in chance of quadruple manchester city were in in chance of quadruple time were in last week in chance manchester city were in week in chance of quadruple time were in last week in chance of unprecedented quadruple manchester city were in week in chance of unprecedented quadruple manchester city were in last week in chance time were in last week in chance of quadruple manchester city were in in chance of unprecedented quadruple it will will intriguing	Manchester City
32	13/14	Stoke City	West Ham United	month is in february	Stoke City
33	13/14	Stoke City	West Ham United	month is in february west ham have lost once in five matches with sam allardyce west ham have lost once in five matches west ham have lost in five matches with sam allardyce five matches is with sam allardyce west ham have lost once in five matches with sam allardyce named west ham have lost in five matches named west ham have lost in five matches west ham have lost once in five matches named west ham have lost in five matches with sam allardyce named west ham have won in their last two league visits west ham have won in their two league visits to britannia stadium west ham have won in their two league visits west ham have won in their last two league visits to britannia stadium	West Ham United
34	13/14	Sunderland	Crystal Palace	season has most important game gus poyet has dubbed relegation six-pointer as bigger than sunderland 's capital one cup final against manchester city gus poyet has dubbed relegation six-pointer as bigger than sunderland 's capital one cup sunderland than capital one cup final against manchester city gus poyet has dubbed relegation six-pointer as bigger gus poyet has dubbed quintessential relegation six-pointer gus poyet has dubbed relegation six-pointer gus poyet has dubbed relegation six-pointer as bigger than sunderland 's capital one cup final adam johnson are in mood fabio borini are in mood poyet 's team struggle score poyet 's team frequently struggle score poyet has team adam johnson are in inventive mood fabio borini are in inventive mood	Sunderland
35	13/14	Sunderland	Crystal Palace	season has most important game fabio borini are in mood fabio borini are in inventive mood	Crystal Palace
36	13/14	Swansea City	West Brom	nicolas anelka has parted company with club nicolas anelka has parted company swansea claiming three points swansea are dire swansea are similar	Swansea City
37	13/14	Swansea City	West Brom	nicolas anelka has parted company with club pepe mel be without six members pepe mel has mustered four points pepe mel has mustered mere four points pepe mel be without six members of his squad including captain pepe mel be without six members of his squad pepe mel taking over at west bromwich nicolas anelka has parted company	West Brom
38	13/14	Manchester United	Liverpool	perennial title challengers winning at old trafford title challengers winning at old trafford manchester united lost to their fiercest rivals manchester united lost to their rivals manchester united lost at home trying inaugural season is in charge of champions	Manchester United
39	13/14	Manchester United	Liverpool	liverpool want become occurrence liverpool establish themselves liverpool want has become liverpool want become regular occurrence trying inaugural season is in charge of champions	Liverpool
40	13/14	Tottenham Hotspur	Arsenal	tottenham have laboured in recent weeks they must win one they keep their champions league dream alive tottenham have laboured in weeks they have decent record they have record their rivals talk of being negative spiral they have record at home talk being negative talk being in spiral their rivals talk of being spiral talk being in negative spiral	Tottenham Hotspur
41	13/14	Tottenham Hotspur	Arsenal	they must win one they keep their champions league dream alive they have decent record they have record they have record at home to arsenal they have record at home to arsenal of late their rivals talk of being negative spiral they have record at home talk being negative talk being in spiral their rivals talk of being spiral talk being in negative spiral arsenal fought back their way arsenal though fought back their way arsenal fought their way arsenal though fought their way	Arsenal
42	13/14	Chelsea	Arsenal	derby is lost contest will go with visitors aware contest will go with visitors loss feels significant	Chelsea
43	13/14	Chelsea	Arsenal	arsene wenger will take satisfaction arsene wenger will take little satisfaction he has labelled arsenal 's game of season arsene wenger will take satisfaction lost he has labelled arsenal 's game arsenal has game of season derby is lost contest will go with visitors aware contest will go with visitors loss feels significant	Arsenal
44	13/14	Everton	Swansea City	omens are good despite lengthy list of absentees omens are good despite list everton leapfrog tottenham everton leapfrog tottenham into fifth omens are good despite lengthy list omens are good omens are good despite list of absentees roberto martinez has team roberto martinez 's team have won their past seven games roberto martinez 's team have won their past seven games at goodison park threat looms large they lie off bottom points are required they lie five points	Everton
45	13/14	Everton	Swansea City	omens are good despite lengthy list of absentees omens are good despite list omens are good despite lengthy list omens are good omens are good despite list of absentees they have also beaten swansea they have beaten swansea threat looms large they lie off bottom garry monk for team threat looms for garry monk 's team points are required they lie five points	Swansea City
46	13/14	Hull City	West Brom	victory is in his eighth game hull could could dragged into fight for survival hull could could still dragged into fight for survival hull sitting 14th hull could could still dragged hull is with only one win in their past eight home league games hull could could dragged hull could could dragged into fight hull could could still dragged into fight steve bruce has team	Hull City
47	13/14	Hull City	West Brom	pepe mel coming at swansea pepe mel guided west brom coming from behind at swansea last weekend pepe mel finally guided west brom coming at swansea pepe mel finally guided west brom coming last weekend pepe mel finally guided west brom coming at swansea weekend pepe mel finally guided west brom coming at swansea last weekend pepe mel finally guided west brom coming from behind last weekend pepe mel guided west brom coming from behind weekend pepe mel guided west brom coming pepe mel finally guided west brom coming weekend pepe mel guided west brom to victory in his eighth game pepe mel finally guided west brom to victory in his eighth game pepe mel guided west brom coming from behind last weekend pepe mel finally guided west brom coming from behind at swansea weekend pepe mel finally guided west brom coming from behind pepe mel guided west brom coming from behind pepe mel finally guided west brom coming victory is in his eighth game pepe mel guided west brom coming from behind at swansea pepe mel coming at_time weekend pepe mel finally guided west brom coming from behind at swansea pepe mel guided west brom to victory in his game pepe mel finally guided west brom pepe mel coming at_time last weekend pepe mel guided west brom coming at swansea last weekend pepe mel guided west brom pepe mel coming from behind pepe mel finally guided west brom coming from behind at swansea last weekend pepe mel finally guided west brom to victory pepe mel finally guided west brom coming from behind weekend pepe mel guided west brom to victory pepe mel finally guided west brom to victory in his game pepe mel guided west brom coming last weekend pepe mel guided west brom coming from behind at swansea weekend pepe mel guided west brom coming at swansea pepe mel guided west brom coming at swansea weekend pepe mel guided west brom coming weekend west brom would leapfrog steve bruce 's team	West Brom
48	13/14	Newcastle United	Crystal Palace	newcastle are without injured loic remy for seventh premier league fixture season newcastle are without injured loic remy season newcastle are without loic remy for seventh premier league fixture season newcastle are without injured loic remy newcastle are without loic remy season newcastle are without injured loic remy for premier league fixture newcastle are without loic remy for premier league fixture season newcastle are without loic remy for premier league fixture newcastle are without loic remy for seventh premier league fixture newcastle are without injured loic remy for premier league fixture season newcastle are without injured loic remy for seventh premier league fixture newcastle are without loic remy france striker has when on loan has absent france striker has when has absent alan pardew 's team drawn one alan pardew 's team have lost five league games alan pardew has team france striker has on loan has absent france striker has on loan from qpr has absent france striker has has absent france striker has when on loan from qpr has absent we struggle score without him we score without him we struggle score remy has player hatem ben arfa is liberated from home bench hatem ben arfa is liberated	Newcastle United
49	13/14	Newcastle United	Crystal Palace	france striker has when on loan has absent france striker has when has absent france striker has on loan has absent france striker has on loan from qpr has absent france striker has has absent france striker has when on loan from qpr has absent we struggle score without him we score without him we struggle score remy has player	Crystal Palace
50	13/14	Norwich City	Sunderland	they need results against teams around them in table they need results they results against teams chris hughton has future at norwich future is constant future is near chris hughton 's future is in constant state chris hughton 's future is in state of doubt chris hughton 's future is in constant state of doubt chris hughton 's future is in near constant state of doubt they need results they are chris hughton 's future is in state they need results against teams in table they need they are they need results against teams around them they maintain their premier league status chris hughton 's future is in near state they results against teams around them in table they need results against teams teams is in table they results against teams in table chris hughton 's future is in near state of doubt chris hughton 's future is in near constant state they results against teams around them games is in hand	Norwich City
51	13/14	Norwich City	Sunderland	they need results against teams around them in table they need results they results against teams future is constant future is near they need results they are they need results against teams in table they need they are they need results against teams around them they maintain their premier league status they results against teams around them in table they need results against teams teams is in table they results against teams in table they results against teams around them games is in hand	Sunderland
52	13/14	West Ham United	Manchester United	picture is looking brighter picture is looking much brighter picture is looking now brighter picture is looking now much brighter wednesday 's victory has lifted gloom after last sunday 's humiliation at home wednesday 's victory has lifted gloom after sunday 's humiliation at home to liverpool wednesday 's victory is in champions league wednesday 's victory has lifted gloom after sunday 's humiliation at home wednesday 's victory has lifted gloom after last sunday 's humiliation at home to liverpool wednesday 's victory has lifted gloom wednesday 's victory has lifted gloom after last sunday 's humiliation wednesday 's victory has lifted gloom after sunday 's humiliation last sunday after humiliation at home to liverpool wednesday has victory over olympiakos in champions league	West Ham United
53	13/14	West Ham United	Manchester United	picture is looking now much brighter for manchester united picture is looking brighter picture is looking now brighter for manchester united picture is looking much brighter picture is looking brighter for manchester united picture is looking now brighter picture is looking now much brighter picture is looking much brighter for manchester united wednesday 's victory has lifted gloom for david moyes wednesday 's victory has lifted gloom after last sunday 's humiliation at home wednesday 's victory has lifted gloom after sunday 's humiliation at home to liverpool wednesday 's victory is in champions league wednesday 's victory has lifted gloom after sunday 's humiliation at home wednesday 's victory has lifted gloom united will have wednesday 's victory has lifted gloom after last sunday 's humiliation at home to liverpool wednesday 's victory has lifted gloom united will have their best at upton park wednesday 's victory has lifted gloom after last sunday 's humiliation wednesday 's victory has lifted gloom after sunday 's humiliation united will have their best last sunday after humiliation at home to liverpool wednesday has victory over olympiakos in champions league doubts will return united lose	Manchester United
54	13/14	Aston Villa	Stoke City	aston villa make it three successive victories for time since october 2007 aston villa aim make aston villa make it three successive victories for first time since october 2007 aston villa make it three successive victories aston villa make it three victories aston villa make it three victories for time since october 2007 aston villa make it three successive victories for first time aston villa make it three successive victories for time aston villa make it three victories since october 2007 aston villa make it three successive victories since october 2007 last week by surprise triumph over chelsea aston villa make it three victories for first time since october 2007 aston villa make it three victories for time aston villa make it three victories for first time aston villa aim at villa park	Aston Villa
55	13/14	Aston Villa	Stoke City	last week by surprise triumph over chelsea	Stoke City
56	13/14	Tottenham Hotspur	Southampton	spurs restored pride spurs restored pride in second half spurs restored pride in second half against benfica spurs restored pride in half spurs restored pride in half against benfica	Tottenham Hotspur
57	13/14	Tottenham Hotspur	Southampton		Southampton
58	13/14	Arsenal	Manchester City	arsenal fans are worried team 's confidence is fragile team has confidence most people as title favourites arsene wenger has down them arsenal 's manager temper his natural instinct arsenal 's manager temper his instinct arsenal has manager visitors go to liverpool	Arsenal
59	13/14	Arsenal	Manchester City	they encounter city side fresh from their humbling of manchester united they encounter city side fresh from their humbling team 's confidence is fragile they encounter city side they encounter city side fresh team has confidence most people as title favourites visitors go to liverpool	Manchester City
60	13/14	Crystal Palace	Chelsea	last weekend of thrashing of arsenal victory is in derby liverpool city breathing down their necks palace have scored in time games is with cardiff palace have scored from penalty palace have scored only once from penalty palace have scored once in time palace have scored once from penalty palace have scored only once in time	Crystal Palace
61	13/14	Crystal Palace	Chelsea	last weekend of thrashing of arsenal victory is in derby chelsea can afford liverpool city breathing down their necks liverpool city breathing down their necks chelsea slip up without win chelsea can ill afford liverpool city breathing chelsea can afford liverpool city breathing chelsea slip up against team chelsea can ill afford liverpool city breathing down their necks chelsea slip up without win in five matches games is with cardiff	Chelsea
62	13/14	Manchester United	Aston Villa	majority are behind him despite derby defeat fly majority are behind him despite midweek derby defeat of plane fly over old trafford majority are behind him despite derby defeat of plane by some fly over trafford majority are behind him despite midweek derby defeat of plane by some fly over old trafford majority are behind him despite midweek derby defeat by some fly over trafford to protest majority are behind him despite midweek derby defeat by some fly over trafford majority are behind him fly majority are behind him despite midweek derby defeat fly over old trafford to protest majority are behind him despite midweek derby defeat of plane fly over trafford majority are behind him despite midweek derby defeat by some fly over old trafford majority are behind him despite derby defeat by some fly over old trafford majority are behind him by some fly over old trafford majority are behind him despite derby defeat fly over old trafford majority are behind him despite derby defeat fly over trafford majority are behind him fly over old trafford majority are behind him despite midweek derby defeat of plane fly to protest majority are behind him fly over trafford to protest majority are behind him by some fly over trafford to protest majority are behind him despite derby defeat of plane by some fly over old trafford majority are behind him despite midweek derby defeat of plane by some fly over old trafford to protest majority are behind him despite midweek derby defeat fly to protest majority are behind him despite derby defeat of plane fly over old trafford to protest majority are behind him despite midweek derby defeat of plane fly majority are behind him despite midweek derby defeat fly majority are behind him despite midweek derby defeat by some fly to protest majority are behind him despite midweek derby defeat of plane by some fly over trafford majority are behind him by some fly majority are behind him despite derby defeat by some fly over trafford to protest majority are behind him despite midweek derby defeat of plane fly over old trafford to protest majority are behind him by some fly to protest majority are behind him despite midweek derby defeat fly over old trafford majority are behind him despite midweek derby defeat fly over trafford to protest majority fly over trafford majority are behind him despite derby defeat of plane fly over trafford to protest majority are behind him despite midweek derby defeat by some fly over old trafford to protest majority are behind him despite midweek derby defeat of plane by some fly over trafford to protest majority are behind him despite derby defeat of plane fly majority are behind him despite derby defeat by some fly to protest majority are behind him fly over trafford majority are behind him despite derby defeat of plane by some fly over trafford to protest majority are behind him fly to protest majority are behind him despite derby defeat by some fly majority are behind him despite derby defeat of plane fly over trafford majority are behind him despite derby defeat of plane fly over old trafford majority fly over old trafford majority fly to protest majority are behind him despite derby defeat fly over trafford to protest majority are behind him despite midweek derby defeat of plane by some fly to protest majority are behind him despite derby defeat by some fly over old trafford to protest majority are behind him despite midweek derby defeat of plane by some fly majority are behind him despite derby defeat fly to protest majority are behind him despite derby defeat by some fly over trafford majority are behind him despite midweek derby defeat of plane fly over trafford to protest majority are behind him despite derby defeat fly over old trafford to protest majority are behind him despite derby defeat of plane by some fly over old trafford to protest majority are behind him by some fly over trafford majority are behind him despite derby defeat of plane by some fly to protest majority are behind him despite midweek derby defeat fly over trafford majority are behind him despite derby defeat of plane by some fly majority are behind him fly over old trafford to protest majority are behind him despite derby defeat of plane fly to protest majority are behind him by some fly over old trafford to protest majority are behind him despite midweek derby defeat by some fly united go would home league defeat united go down would seventh home league defeat he win matches united go down would home league defeat united go would seventh home league defeat sir alex ferguson was abused by supporters sir alex ferguson was abused mark set on just tuesday evening would club record is in premier league era moyes has side 3-0 mark set on tuesday evening city beat moyes 's side 3-0 proceedings are at how defending champions proceedings are at champions proceedings are at how currently champions dire proceedings are at currently defending champions dire proceedings are at how currently defending champions dire proceedings are at champions proceedings are at how currently defending champions dire proceedings are at how champions proceedings are at how champions dire proceedings are at currently champions dire proceedings are at how defending champions proceedings are at currently champions dire proceedings are at how currently champions proceedings are at defending champions proceedings are at currently defending champions dire proceedings are at defending champions	Manchester United
