	Season	HomeTeam	AwayTeam	Sentence	Allocation
16	13/14	Norwich City	Tottenham Hotspur	the norwich manager is chris hughton the norwich manager be hoping ease he have the norwich manager is chris hughton the norwich manager have midfielder jonny howson the norwich manager is chris hughton the norwich manager returning from a back injury the norwich manager is chris hughton the norwich manager help him they were rested on thursday they were rested against dnipro on thursday they were rested against dnipro	Norwich City
17	13/14	Norwich City	Tottenham Hotspur	he have tim sherwood will welcome hugo lloris tim sherwood will welcome emmanuel adebayor they were rested on thursday they were rested against dnipro on thursday they were rested against dnipro spurs look spurs maintain their top-four push	Tottenham Hotspur
18	13/14	Aston Villa	Norwich City	relations been strained paul lambert left norwich for villa paul lambert left norwich in 2012 paul lambert left norwich ever paul lambert left norwich time been much a game full wanted join who scored prolifically a game full carries extra significance both clubs are desperate	Aston Villa
19	13/14	Aston Villa	Norwich City	relations been strained paul lambert left norwich in 2012 paul lambert left norwich ever paul lambert left norwich time been much a game full wanted join who scored prolifically who scored prolifically during his time at carrow road who scored during his time at carrow road grant holt is likely a game full carries extra significance both clubs are desperate	Norwich City
20	13/14	Cardiff	Fulham	it been another turbulent week one would feel next up one would feel with everton and liverpool one would feel with everton and liverpool next up failure would plunge solskjaer 's team into a deeper crisis failure would plunge solskjaer 's team they need reckons it 's too late	Cardiff
21	13/14	Cardiff	Fulham	it been another turbulent week one would feel next up one would feel with everton and liverpool one would feel with everton and liverpool next up fulham 's new manager is felix magath fulham 's new manager reckons is fulham 's new manager is felix magath fulham 's new manager is more pressure they need reckons it 's too late	Fulham
22	13/14	Crystal Palace	Southampton	this would appear be they attempt move pulis ' side remain saddled the point remains their only reward a lot will depend upon glenn murray hitting the ground running glenn murray hitting running the ground running that prove disrupted	Crystal Palace
23	13/14	Crystal Palace	Southampton	this would appear be they attempt move the point remains their only reward the ground running the saints be buoyed by the international recognition gained by their players in midweek that prove disrupted	Southampton
24	13/14	Norwich City	Stoke City	these are games norwich need get they are stay wes hoolahan made only his sixth start wes hoolahan scored within three minutes against aston villa who is banned for a stamp on olivier giroud hughes ' team are safe defeat would see overtaken them overtaken by norwich	Norwich City
25	13/14	Norwich City	Stoke City	these are games they are stay he should get the nod minus charlie adam , who is banned for a stamp on olivier giroud he should get the nod against a stoke team he should get the nod against a stoke team minus charlie adam , who is banned for a stamp on olivier giroud who is banned for a stamp on olivier giroud hughes ' team are safe defeat would see overtaken	Stoke City
26	13/14	Aston Villa	Chelsea	one must wonder play he spoke on friday they are how they are ahead of schedule they are how ahead of schedule they refuses acknowledge who have lost seven who have lost seven to teams in the top 10 he recognise their credentials publicly he recognise their credentials	Aston Villa
27	13/14	Aston Villa	Chelsea	one must wonder play jose mourinho will play chelsea 's chances jose mourinho will play chelsea 's chances how much longer he spoke on friday he spoke of how they are ahead of schedule but refuses to acknowledge that with a seven-point lead heading into this weekend , chelsea are one of the favourites for the title he spoke on friday of how they are ahead of schedule but refuses to acknowledge that with a seven-point lead heading into this weekend , chelsea are one of the favourites for the title they are how they are ahead of schedule they are how ahead of schedule they refuses acknowledge chelsea are one who have lost seven who have lost seven to teams in the top 10 he recognise their credentials publicly he recognise their credentials	Chelsea
28	13/14	Fulham	Newcastle United	felix magath find wishing himself wishing were he were at craven cottage too he were too he were at craven cottage the german was plunged into a mess his three games have produce he can tidy it year 's day could lie in the attitude of their opponents fulham 's best hope have won their last two matches fulham 's best hope have won their last two matches after going through an indifferent spell fulham 's best hope seem have	Fulham
29	13/14	Fulham	Newcastle United	alan pardew begins his three-match stadium ban alan pardew begins his three-match stadium ban here himself wishing were he were too the german was plunged into a mess his three games have produce he can tidy it year 's day could lie in the attitude of their opponents	Newcastle United
30	13/14	Hull City	Manchester City	the league cup secured already the league cup secured already safely the league cup secured safely they have focus only the premier league focus on it be intriguing they bounce back they bounce following the defeats to wigan and barcelona they bounce how they bounce how back following the defeats to wigan and barcelona hull will look hull use the momentum run	Hull City
31	13/14	Hull City	Manchester City	manchester city were in with a chance of an unprecedented quadruple manchester city were with a chance of an unprecedented quadruple manchester city were in the league cup secured already the league cup secured already safely the league cup secured safely they have focus only the premier league focus on it be intriguing they bounce back they bounce following the defeats to wigan and barcelona they bounce how they bounce how back following the defeats to wigan and barcelona	Manchester City
32	13/14	Southampton	Norwich City	southampton have won one southampton will struggle find southampton having lost four away from carrow road southampton having lost four southampton be very costly they are clear they do have a favourable run after this they do have a favourable run	Southampton
33	13/14	Southampton	Norwich City	southampton having lost four away from carrow road they are clear	Norwich City
34	13/14	Stoke City	West Ham United	stoke are without jonathan walters and charlie adam through suspension stoke are without jonathan walters and charlie adam stoke are through suspension stoke are in good form stoke having lost to manchester city stoke having lost just once stoke having lost just once to manchester city in their last six stoke having lost in their last six who have conceded one who have conceded one in their last four games on the road	Stoke City
35	13/14	Stoke City	West Ham United	west ham have lost once west ham have lost in five matches with sam allardyce named manager of the month in february west ham have lost once in five matches with sam allardyce named manager of the month in february who have conceded one who have conceded one in their last four games on the road west ham have won west ham drawn in their last two league visits to the britannia stadium	West Ham United
36	13/14	Sunderland	Crystal Palace	gus poyet has dubbed this quintessential relegation gus poyet has dubbed this quintessential relegation as `` bigger '' than sunderland 's capital one cup final against manchester city and the season 's `` most important game it be easy poyet 's team struggle score so much may depend on whether adam johnson and fabio borini are in inventive and incisive mood adam johnson are in inventive and incisive mood fabio borini are in inventive and incisive mood	Sunderland
37	13/14	Sunderland	Crystal Palace	it be easy fabio borini are in inventive and incisive mood	Crystal Palace
38	13/14	Swansea City	West Brom	nicolas anelka has parted company nicolas anelka has parted company with the club swansea are in a similar dire run swansea claiming points swansea claiming points from their last six games garry monk could welcome michu after a three-month injury layoff garry monk could welcome michu	Swansea City
39	13/14	Swansea City	West Brom	pepe mel has mustered a mere four points since taking over at west bromwich pepe mel has mustered a mere four points pepe mel be without six members of his squad including the captain , chris brunt nicolas anelka has parted company nicolas anelka has parted company with the club	West Brom
40	13/14	Manchester United	Liverpool	perennial title challengers winning at old trafford perennial title challengers winning then perennial title challengers winning then at old trafford manchester united lost at home to their fiercest rivals manchester united lost to their fiercest rivals manchester united lost at home david moyes remains resolute david moyes could prove	Manchester United
41	13/14	Manchester United	Liverpool	liverpool want establish perennial title challengers winning then rodgers ' team have a chance rodgers ' team was the 4-1 humiliation	Liverpool
42	13/14	Tottenham Hotspur	Arsenal	tottenham have laboured in recent weeks it feels they must win this one they keep their champions league dream they have a decent record of late they have a decent record they won the corresponding fixture they won the corresponding fixture when they was talk their rivals being in a `` negative spiral which has become a speciality thunder looms blood looms	Tottenham Hotspur
43	13/14	Tottenham Hotspur	Arsenal	it feels they must win this one they keep their champions league dream they have a decent record of late they have a decent record they won the corresponding fixture they won the corresponding fixture when they was talk their rivals being in a `` negative spiral arsenal fought their way arsenal fought their way back from the crisis , which has become a speciality of theirs arsenal fought their way though which has become a speciality thunder looms blood looms	Arsenal
44	13/14	Chelsea	Arsenal	the derby is lost this contest will go with the visitors aware that , if wenger secures a first victory in 11 attempts over a team managed by jose mourinho , then a follow-up success at home to swansea on tuesday will send them top the visitors will send them top mourinho suggested was this game was of no greater significance than last weekend 's trip to aston villa that fooled no one the loss feels significant	Chelsea
45	13/14	Chelsea	Arsenal	arsene wenger will take little satisfaction in overseeing his 1,000th match if the derby he has labelled arsenal 's `` game of the season '' is lost he has labelled arsenal 's `` game the derby is lost this contest will go with the visitors aware that , if wenger secures a first victory in 11 attempts over a team managed by jose mourinho , then a follow-up success at home to swansea on tuesday will send them top wenger secures a first victory the visitors will send them top this game was of no greater significance than last weekend 's trip to aston villa that fooled no one the loss feels significant	Arsenal
46	13/14	Everton	Swansea City	 a win would see everton into fifth  a win would see everton the omens are good martinez 's team won their past seven games the threat looms large they lie looms points are required	Everton
47	13/14	Everton	Swansea City	the omens are good they beaten swansea won the threat looms large the threat looms for garry monk 's team the threat looms for garry monk 's team large they lie looms points are required	Swansea City
48	13/14	Hull City	West Brom	they build on that they build now they build now on that sunderland holding games hull be dragged despite sitting 14th hull be dragged still hull be dragged with only one win in their past eight home league games hull be dragged with only one win in their past eight home league games still into the fight for survival despite sitting 14th hull be dragged into the fight for survival	Hull City
49	13/14	Hull City	West Brom	pepe mel guided west brom by coming from behind at swansea last weekend pepe mel guided west brom to victory in his eighth game pepe mel guided west brom finally pepe mel guided west brom they build on that they build now they build now on that sunderland holding games mel 's team are safe west brom would leapfrog bruce 's team west brom would leapfrog bruce 's team with a win west brom outlining bunched west brom bunched the bottom half how tightly west brom bunched the bottom half west brom is	West Brom
50	13/14	Newcastle United	Crystal Palace	the good news is are newcastle are without the injured loic remy newcastle are for a seventh premier league fixture newcastle are without the injured loic remy for a seventh premier league fixture the france striker been absent pardew 's team have lost league games pardew 's team drawn one pardew 's team failed score remy 's our player we struggle score midfielder acknowledged 's struggle midfielder acknowledged struggle midfielder acknowledged 's who will watch the match on television who will watch the match at the training ground who will watch the match who will watch the match because of a stadium ban much may depend if and much may depend on much may depend on if and hatem ben arfa is liberated when hatem ben arfa is liberated from the home bench hatem ben arfa is liberated when from the home bench	Newcastle United
51	13/14	Newcastle United	Crystal Palace	the france striker been absent remy 's our player we struggle score midfielder acknowledged 's struggle midfielder acknowledged struggle midfielder acknowledged 's who will watch the match on television who will watch the match at the training ground who will watch the match who will watch the match because of a stadium ban much may depend if and much may depend on much may depend on if and	Crystal Palace
52	13/14	Norwich City	Sunderland	hughton 's future is in a near constant state of doubt they are maintain they need results they need results in the table that prove their downfall pile	Norwich City
53	13/14	Norwich City	Sunderland	hughton 's future is in a near constant state of doubt they are maintain they need results they need results in the table sunderland have games sunderland have games due to their cup runs that prove their downfall pile	Sunderland
54	13/14	West Ham United	Manchester United	the picture is looking much brighter the picture is looking now wednesday 's victory has lifted the gloom after last sunday 's humiliation at home to liverpool wednesday 's victory has lifted the gloom they come often they come where they come unstuck they come where often unstuck who are quite clear west ham have lost their past two matches this is unlikely	West Ham United
55	13/14	West Ham United	Manchester United	the picture is looking for manchester united the picture is looking much brighter the picture is looking now the picture is looking much brighter for manchester united now wednesday 's victory has lifted the gloom after last sunday 's humiliation at home to liverpool wednesday 's victory has lifted the gloom united will have be they come often they come where they come unstuck they come where often unstuck the doubts will return who are quite clear this is unlikely	Manchester United
56	13/14	Aston Villa	Stoke City	aston villa aim at villa park aston villa make successive victories they won a league game taken jonathan walters are suspended for the visitors and stephen ireland charlie adam are suspended for the visitors and stephen ireland the fact is ineligible	Aston Villa
57	13/14	Aston Villa	Stoke City	hope be taken from stoke 's poor away form they won a league game taken jonathan walters are suspended for the visitors and stephen ireland charlie adam are suspended for the visitors and stephen ireland the fact is ineligible	Stoke City
58	13/14	Tottenham Hotspur	Southampton	spurs restored some pride spurs restored some pride in the second half against benfica spurs restored some pride on thursday their aim lies after the defeat by arsenal last weekend in tatters their aim lies in tatters their aim lies after the defeat by arsenal last weekend injuries helped sherwood 's case he be desperate whose england players remain determined	Tottenham Hotspur
59	13/14	Tottenham Hotspur	Southampton	their aim lies after the defeat by arsenal last weekend in tatters their aim lies in tatters their aim lies after the defeat by arsenal last weekend he be desperate whose england players remain determined	Southampton
60	13/14	Arsenal	Manchester City	arsenal fans are worried injuries have hit team 's confidence is fragile who remain as most people 's title favourites arsene wenger has them the side beat arsenal 's manager might have temper the visitors have go they see this they see this as a key staging post	Arsenal
61	13/14	Arsenal	Manchester City	injuries have hit team 's confidence is fragile they encounter a city side fresh who remain as most people 's title favourites the side beat the visitors have go they see this they see this as a key staging post	Manchester City
62	13/14	Crystal Palace	Chelsea	victory may lack the resonance manchester city breathing liverpool breathing palace have scored only once from a penalty palace have scored only once palace have scored from a penalty palace are in that time without the injured marouame chamakh palace are in that time palace are without the injured marouame chamakh palace have their eye come	Crystal Palace
63	13/14	Crystal Palace	Chelsea	victory may lack the resonance jose mourinho consider critical manchester city breathing liverpool breathing chelsea afford slip	Chelsea
64	13/14	Manchester United	Aston Villa	david moyes insists are the majority are despite the midweek derby defeat and hiring of a plane by some to fly over old trafford to protest the majority are behind him despite the midweek derby defeat and hiring of a plane by some to fly over old trafford to protest the majority are behind him the scot concedes needs he needs win who knows occur what might occur united go down united go to villa united go down to villa in what would be a seventh home league defeat united go in what would be a seventh home league defeat what be a seventh home league defeat that be a club record that beating the mark city beat moyes 's side when city beat moyes 's side sir alex ferguson was abused by some supporters this is are dire proceedings are currently at the defending champions dire proceedings are currently dire proceedings are at the defending champions	Manchester United
65	13/14	Manchester United	Aston Villa	the majority are behind him the scot concedes needs he needs win who knows occur what might occur united go to villa united go down to villa in what would be a seventh home league defeat what be a seventh home league defeat that be a club record that beating the mark sir alex ferguson was abused by some supporters this is are dire proceedings are currently at the defending champions dire proceedings are currently dire proceedings are at the defending champions	Aston Villa
66	13/14	Southampton	Newcastle United	it says is it is likely andre marriner be hoping after his blunder during chelsea 's win over arsenal last week andre marriner be hoping for a quiet afternoon after his blunder during chelsea 's win over arsenal last week andre marriner be hoping for a quiet afternoon andre marriner be glad whose stadium ban is over both sides are safe this is likely	Southampton
67	13/14	Southampton	Newcastle United	it says is it is likely andre marriner be hoping after his blunder during chelsea 's win over arsenal last week andre marriner be hoping for a quiet afternoon after his blunder during chelsea 's win over arsenal last week andre marriner be hoping for a quiet afternoon andre marriner be glad whose stadium ban is over alan pardew allowed yet alan pardew allowed on the touchline yet alan pardew allowed on the touchline newcastle 's manager is looking to giving his team-talk after three matches away newcastle 's manager is looking forward newcastle 's manager is looking forward to giving his team-talk after three matches away both sides are safe this is likely	Newcastle United
68	13/14	Stoke City	Hull City	games go stoke remain on track stoke remain for a 10th-placed finish , their highest in the premier league stoke remain on track for a 10th-placed finish , their highest in the premier league their home form been the cornerstone it be been with it be been it be with who positioned similarly who positioned similarly in mid-table who positioned in mid-table who be dragged yet into a relegation fight who be dragged yet who be dragged into a relegation fight	Stoke City
69	13/14	Stoke City	Hull City	games go their home form been the cornerstone it be been with it be been it be with who positioned similarly who positioned similarly in mid-table who positioned in mid-table who be dragged yet into a relegation fight who be dragged yet who be dragged into a relegation fight hull leave with a win	Hull City
70	13/14	Swansea City	Norwich City	another victory coming the back off another victory coming the back another victory could see go swansea been buoyed despite being without a win in their last six league games by the late point they earned at arsenal on tuesday swansea been buoyed despite being without a win in their last six league games swansea been buoyed by the late point they earned at arsenal on tuesday they earned at arsenal on tuesday they earned on tuesday they earned at arsenal norwich lost to swansea in the premier league norwich lost to swansea their run makes hard	Swansea City
71	13/14	Swansea City	Norwich City	another victory coming the back off another victory coming the back another victory could see go norwich go 10 points clear of the relegation zone they earned at arsenal on tuesday they earned on tuesday they earned at arsenal norwich lost to swansea in the premier league norwich lost to swansea norwich lost in the premier league their run makes hard	Norwich City
72	13/14	Fulham	Everton	fulham have matches this threatens be they will show to no mercy who have produce	Fulham
73	13/14	Fulham	Everton	this threatens be everton revitalised after being rested by roberto martinez everton revitalised seemingly everton revitalised seemingly after being rested by roberto martinez everton appear gaining everton means show they will show to no mercy who have produce	Everton
74	13/14	Liverpool	Tottenham Hotspur	momentum is behind liverpool momentum is in the title race momentum is with brendan rodgers 's team unbeaten in the premier lleague in 2014 and taking 32 points from the last 36 available momentum is behind liverpool in the title race with brendan rodgers 's team unbeaten in the premier lleague in 2014 and taking 32 points from the last 36 available rodgers 's team unbeaten in the premier lleague rodgers 's team unbeaten in 2014 rodgers 's team unbeaten in the premier lleague in 2014 the tension stop a seventh consecutive win the tension stop memories the tension offer assurance spurs have won once in their last 19 league visits to anfield spurs have won in their last 19 league visits to anfield	Liverpool
75	13/14	Liverpool	Tottenham Hotspur	momentum is in the title race the tension stop a seventh consecutive win the tension stop memories the tension offer assurance spurs have taken point from seven games against the current top four spurs conceding goals spurs have won once spurs have won once in their last 19 league visits to anfield spurs have won in their last 19 league visits to anfield	Tottenham Hotspur
76	13/14	Aston Villa	Fulham	fulham won at villa park fulham won at villa park in the premier league they are cling they need that change who ruptured tendon ruin lambert 's team are unpredictable lambert 's team expect score them score despite being without their main marksman against the league 's most porous defence	Aston Villa
77	13/14	Aston Villa	Fulham	fulham won in the premier league they are cling they need that change who ruptured tendon ruin them score despite being without their main marksman against the league 's most porous defence	Fulham
78	13/14	Chelsea	Stoke City	chelsea afford dwell that looked strong a team faltering on all fronts a team faltering suddenly a team faltering suddenly on all fronts this match offers mourinho 's men a chance	Chelsea
79	13/14	Chelsea	Stoke City	that looked strong a team faltering on all fronts a team faltering suddenly a team faltering suddenly on all fronts they face a stoke side in good form they face a stoke side they face a stoke side worryingly they face a stoke side for the home side	Stoke City
80	13/14	Hull City	Swansea City	swansea shade hull currently swansea shade hull both hovering points both hovering points above the danger zone , a win be enough	Hull City
81	13/14	Hull City	Swansea City	swansea shade hull currently swansea shade hull both hovering points both hovering points above the danger zone , a win be enough	Swansea City
82	13/14	Manchester City	Southampton	city remain favourites southampton should provide more than the average visitor to the etihad points here would put pellegrini 's team still points here would put pellegrini 's team with the top two set to collide next weekend points here would put pellegrini 's team still with the top two set to collide next weekend	Manchester City
83	13/14	Manchester City	Southampton	southampton should provide more southampton should provide more than the average visitor to the etihad	Southampton
84	13/14	Newcastle United	Manchester United	this fixture involved teams when this fixture involved teams it is managers who admits struggling he is struggling motivate alan pardew aims compensate it be interesting he rests who	Newcastle United
85	13/14	Newcastle United	Manchester United	this fixture involved teams when this fixture involved teams it is managers who admits struggling he is struggling motivate david moyes must balance the desire it be interesting he rests who he rests who ahead of the manchester united 's decisive champions league trip to bayern munich	Manchester United
86	13/14	Norwich City	West Brom	manchester united is unenviable chelsea is unenviable arsenal is unenviable liverpool is unenviable liverpool making hugely important manchester united making hugely important chelsea making hugely important arsenal making hugely important a win would put them six points clear of the drop in a good position a win would put them six points clear of the drop a win would put them in a good position norwich 's home form is strong an unbeaten run stretching back to december defeat will increase their fears	Norwich City
87	13/14	Norwich City	West Brom	manchester united is unenviable chelsea is unenviable arsenal is unenviable liverpool is unenviable liverpool making hugely important manchester united making hugely important chelsea making hugely important arsenal making hugely important a win would put them six points clear of the drop in a good position a win would put them six points clear of the drop a win would put them in a good position an unbeaten run stretching back to december brom 's only win came on the road defeat will increase their fears	West Brom
88	13/14	Everton	Arsenal	everton 's fate is in their hands victory would move the blues who have won their past five league matches a top-four finish be within touching distance they did in their previous away match they were trounced by chelsea they were trounced when they were trounced when by chelsea the scars are heal everton the scars are everton the scars are heal this is their time	Everton
89	13/14	Everton	Arsenal	victory would move the blues who have won their past five league matches a top-four finish be within touching distance arsenal have faltered in big matches arsenal will need defend they did in their previous away match they were trounced by chelsea they were trounced when they were trounced when by chelsea the scars are heal this is their time	Arsenal
90	13/14	West Ham United	Liverpool	west ham have the potential upton park been a graveyard the fear be come they will come unstuck they will come unstuck at the hands of two of their former players they will come at the hands of two of their former players which has kept clean sheets ham 's defence poses another problem	West Ham United
91	13/14	West Ham United	Liverpool	liverpool are show upton park been a graveyard the fear be come they will come unstuck they will come unstuck at the hands of two of their former players they will come at the hands of two of their former players which has kept clean sheets brendan rodgers has luis suarez	Liverpool
92	13/14	Tottenham Hotspur	Sunderland	tottenham be looking recover who have struggled for goals who have struggled for goals recently who have struggled recently tim sherwood may call the brazilian paulinho who is desperate they are escape they do possess games	Tottenham Hotspur
93	13/14	Tottenham Hotspur	Sunderland	who have struggled for goals who have struggled for goals recently who have struggled recently who is desperate sunderland need gather they are escape they do possess games	Sunderland
94	13/14	Crystal Palace	Aston Villa	crystal palace assure their premier league status by completing the double over villa crystal palace assure their premier league status crystal palace assure their premier league status virtually crystal palace assure their premier league status after two successive 3-0 victories things are that simple tony pulis be wary who have picked more points than any side in the bottom half who have picked more points away from home who have picked more points	Crystal Palace
95	13/14	Crystal Palace	Aston Villa	things are that simple who have picked more points than any side in the bottom half who have picked more points away from home who have picked more points	Aston Villa
96	13/14	Fulham	Norwich City	who have predicted be games remaining felix magath games remaining neil adams who be respectively who be with five games remaining felix magath and neil adams in charge of fulham and norwich respectively who be in charge of fulham and norwich who be with five games remaining felix magath and neil adams they are here fulham is points fulham won at aston villa darren bent is available his first match is a decider a defeat be devastating	Fulham
97	13/14	Fulham	Norwich City	who have predicted be games remaining neil adams who be respectively who be in charge of fulham and norwich they are here adams insists be adams insists is be adams insists is his first match is a decider a defeat be devastating	Norwich City
98	13/14	Stoke City	Newcastle United	stoke have league 's best home record stoke have league 's best home record outside of the top five with two defeats ( to norwich and liverpool ) you consider haemorrhaging it be a shock a win closing already a win closing already on their best premier league finish a win closing on their best premier league finish a win would move stoke a win would move stoke to a win would move stoke within three points of alan pardew 's troubled team	Stoke City
99	13/14	Stoke City	Newcastle United	you consider haemorrhaging newcastle are haemorrhaging 11 newcastle are haemorrhaging 11 without scoring in their past three outings it be a shock a win closing already a win closing already on their best premier league finish a win closing on their best premier league finish a win would move stoke within three points of alan pardew 's troubled team	Newcastle United
100	13/14	Sunderland	Everton	gus poyet were midfield team-mates their respective philosophies have much their respective philosophies have much in common their respective philosophies have much managerially their careers are right now on divergent trajectories their careers are on divergent trajectories their careers are right now poyet concedes take it take a miracle it save sunderland it save sunderland from the championship his old friend prays since february 1 his old friend prays for a first league victory his old friend prays simply for a first league victory since february 1 his old friend prays simply	Sunderland
101	13/14	Sunderland	Everton	roberto martinez were midfield team-mates their respective philosophies have much their respective philosophies have much in common their respective philosophies have much managerially their careers are right now on divergent trajectories their careers are on divergent trajectories their careers are right now everton arrive with a champions league place almost within touching distance it take a miracle martinez seeks revenge his old friend prays since february 1 his old friend prays for a first league victory his old friend prays simply for a first league victory since february 1 his old friend prays simply	Everton
102	13/14	West Brom	Tottenham Hotspur	west brom won still at home under pepe mel west brom won still west brom won at home west brom won under pepe mel it be noted are he took in january manchester united it are the only team a first home win would go a long way a first home win would go a long way five points above the relegation zone	West Brom
103	13/14	West Brom	Tottenham Hotspur	it be noted are he took in january manchester united it are the only team	Tottenham Hotspur
104	13/14	Liverpool	Manchester City	wins will see crowned liverpool crowned champions liverpool crowned champions for the 19th time and for the first time since 1990 the visit presents the toughest assignment the visit presents the toughest assignment arguably chelsea await also they inflict a first home defeat they inflict a first home defeat since september	Liverpool
105	13/14	Liverpool	Manchester City	wins will see crowned the visit presents the toughest assignment the visit presents the toughest assignment arguably chelsea await also victory would leave pellegrini 's side city can wrestle control inflict they inflict a first home defeat they inflict a first home defeat since september	Manchester City
106	13/14	Swansea City	Chelsea	they are to the title they are to pip liverpool and manchester city they are to pip liverpool and manchester city to the title a win would allow go chelsea go top with three points against a swansea side who are still fighting to confirm their top-flight status who fighting confirm	Swansea City
107	13/14	Swansea City	Chelsea	chelsea kick-off will have a greater understanding on sunday chelsea kick-off will have a greater understanding by the time chelsea kick-off will have a greater understanding they are to the title they are to pip liverpool and manchester city they are to pip liverpool and manchester city to the title a draw would suit mourinho 's team a win would allow go chelsea go top chelsea go top with three points against a swansea side who are still fighting to confirm their top-flight status who fighting confirm	Chelsea
108	13/14	Aston Villa	Southampton	aston villa need end that would put their relegation fears to bed club 's decision has left them club 's decision has left them in a state of turmoil it is lost villa lost league games villa lost league games on the spin the visitors struggling also the visitors having lost three something has give	Aston Villa
109	13/14	Aston Villa	Southampton	that would put their relegation fears to bed club 's decision has left them club 's decision has left them in a state of turmoil it is lost the visitors struggling also the visitors having lost three something has give	Southampton
110	13/14	Chelsea	Sunderland	city 's midweek toils should serve as a warning to chelsea , who aspire to reclaim leadership of the division for one night at least with an onerous fixture list ahead who aspire reclaim jose mourinho will balance his selection jose mourinho will balance his selection with the champions league semi-finals jose mourinho come jose mourinho stretching squad 's resources they did eliminate a strong chelsea team in december they did eliminate a strong chelsea team he be craving an unfamiliar result	Chelsea
111	13/14	Chelsea	Sunderland	who aspire reclaim sunderland must seek repeat gus poyet is back in familiar territory he be craving an unfamiliar result	Sunderland
112	13/14	Newcastle United	Swansea City	managers contemplating uncertain futures james ' park crowd forgive alan pardew james ' park crowd forgive alan pardew probably james ' park crowd forgive alan pardew for a fifth straight defeat their mantra is supposed be newcastle fans are likely pardew may persist with a back five pardew must pray alter striker loic remy can alter the narrative	Newcastle United
113	13/14	Newcastle United	Swansea City	managers contemplating uncertain futures swansea seem forgotten their mantra is supposed be monk 's side can retain possession for prolonged periods monk 's side can retain possession striker loic remy can alter the narrative	Swansea City
