	HomeTeam	AwayTeam	HomeGoals	AwayGoals	Date	Season	Commentary	Result	sentiment
10	Cardiff	Fulham	3	1	08/03/2014	14	It has been another turbulent week at Cardiff City and one would feel with Everton and Liverpool next up, failure to get a result against the only team below them in the table would plunge Ole Gunnar Solskjaer's team into a deeper crisis. Fulham's new manager, Felix Magath, reckons there is more pressure on Cardiff but, winless since January, they need to improve before it's too late. Alan Smith	1	-0.9975514113903046,0.9959090948104858
11	Crystal Palace	Southampton	0	1	08/03/2014	14	This, on paper, would appear to be one of Crystal Palace's more winnable remaining home fixtures this term as they attempt to move six points clear of relegation, though Tony Pulis' side remain saddled with a dreadful record against the division's current top-nine teams. The point earned at home to Everton remains their only reward in 12 games against the teams from Southampton up and, with Marouane Chamakh hamstrung, a lot will depend upon Glenn Murray hitting the ground running. The Saints will be buoyed by the international recognition gained by their players in midweek, though that may yet prove to have disrupted their preparations. Dominic Fifield	-1	0.9759817719459534,0.4011566638946533
12	Norwich City	Stoke City	1	1	08/03/2014	14	These are games Norwich need to get a result from if they are to stay up. Wes Hoolahan made only his sixth start of the season and scored within three minutes against Aston Villa last week so he should get the nod against a Stoke team minus Charlie Adam, who is banned for a stamp on Olivier Giroud. Mark Hughes' team are not safe either and defeat would see them overtaken by Norwich. Alan Smith	0	-0.990809440612793,0.9898226261138916
13	Aston Villa	Chelsea	1	0	15/03/2014	14	One must wonder how much longer José Mourinho will play down Chelsea's chances. On Friday he spoke of how they are ahead of schedule but refuses to acknowledge that with a seven-point lead heading into this weekend, Chelsea are one of the favourites for the title. Win against Villa, who have lost seven of their eight home games to teams in the top 10, and he must publicly recognise their credentials. Alan Smith	1	0.9993070363998413,-0.8493627309799194
14	Fulham	Newcastle United	1	0	15/03/2014	14	Alan Pardew begins his three-match stadium ban here and Felix Magath may soon find himself wishing he were not at Craven Cottage too. The German was plunged into a mess and his three games in charge have yet to produce any evidence that he can tidy it up. Fulham's best hope of getting their first win league win since New Year's Day could lie in the attitude of their opponents, but, after going through an indifferent spell, Newcastle have won their last two matches and seem to have their heads in the right places again. Paul Doyle	1	-0.3334643443425496,0
15	Hull City	Manchester City	0	2	15/03/2014	14	This time last week, Manchester City were in with a chance of an unprecedented quadruple. Now, with the League Cup already safely secured, they have only the Premier League to focus on. It will be intriguing to see how they bounce back following the defeats to Wigan and Barcelona but Hull will look to use the momentum gained from their FA Cup run to move closer to safety. Alan Smith	-1	0.984805166721344,0.9990297555923462
16	Southampton	Norwich City	4	2	15/03/2014	14	Southampton have won one of their last eight home games but will struggle to find a better chance to improve that run against Norwich whose away form – having lost the previous four away from Carrow Road – could yet be very costly. They are four points clear of the bottom three but do have a favourable run with Sunderland, Swansea, West Bromwich and Fulham after this. Alan Smith	1	0.0003428161144256592,0
17	Stoke City	West Ham United	3	1	15/03/2014	14	Stoke are without Jonathan Walters and Charlie Adam through suspension but are in good form, having lost just once – to Manchester City – in their last six. West Ham have lost once in five matches with Sam Allardyce named manager of the month in February. West Ham, who have conceded just one in their last four games on the road, have won and drawn in their last two league visits to the Britannia Stadium. Daniel Clark	1	0.9995743632316589,0.9021324217319489
18	Sunderland	Crystal Palace	0	0	15/03/2014	14	"Gus Poyet has dubbed this quintessential relegation six-pointer as ""bigger"" than Sunderland's Capital One Cup final against Manchester City and the season's ""most important game."" With Tony Pulis prone to packing Palace's defence and aiming to sneak a goal on the break before pulling everyone back behind the ball again, it will not be easy for Sunderland. Often low on creative guile, Poyet's team frequently struggle to score and so much may depend on whether Adam Johnson and Fabio Borini are in inventive and incisive mood. Louise Taylor"	0	0.2991260091463725,0.9832514524459839
19	Swansea City	West Brom	1	2	15/03/2014	14	Pepe Mel has mustered a mere four points since taking over at West Bromwich and will be without six members of his squad including the captain, Chris Brunt, while Nicolas Anelka has parted company with the club. Swansea are in a similar dire run, claiming three points from their last six games, but Garry Monk could welcome back Michu after a three-month injury layoff. Samar Maguire	-1	-0.5500751733779907,-0.9993618130683899
20	Manchester United	Liverpool	0	3	16/03/2014	14	If Liverpool want to establish themselves as perennial title challengers then winning at Old Trafford has to become a regular occurrence. Brendan Rodgers' team have a chance to start a new trend as the last time Manchester United lost at home to their fiercest rivals was the 4-1 humiliation of 2008-09. David Moyes remains resolute in the midst of a trying inaugural season in charge of the champions but with Liverpool 11 points better off a victory could prove pivotal in turning his team's fortunes around. Jamie Jackson	-1	0.9719836711883545,0.012254893779754639
21	Tottenham Hotspur	Arsenal	0	1	16/03/2014	14	"Tottenham have laboured in recent weeks and it feels as though they must win this one to keep their Champions League dream alive. They have a decent record at home to Arsenal of late and when they won the corresponding fixture last season, there was talk of their rivals being in a ""negative spiral"". Arsenal, though, fought their way back from the crisis, which has become a speciality of theirs. Blood and thunder looms. David Hytner"	-1	0.9991042017936707,0.0359976589679718
22	Chelsea	Arsenal	6	0	22/03/2014	14	"Arsène Wenger will take little satisfaction in overseeing his 1,000th match if the derby he has labelled Arsenal's ""game of the season"" is lost. This contest will go some way towards determining these clubs' respective title challenges, with the visitors aware that, if Wenger secures a first victory in 11 attempts over a team managed by José Mourinho, then a follow-up success at home to Swansea on Tuesday will send them top. Mourinho suggested this game was of no greater significance than last weekend's trip to Aston Villa, though that fooled no one. The loss of Willian and Ramires to suspension feels significant. Dominic Fifield"	1	-0.9969460964202881,-8.526444435119629e-05
23	Everton	Swansea City	3	2	22/03/2014	14	​A win would see Everton leapfrog Tottenham into fifth and, despite a lengthy list of absentees, the omens are good. Roberto Martínez's team have not only won their past seven games at Goodison Park, they have also beaten Swansea in five of the last six meetings. For Garry Monk's team, the threat of relegation looms large – they lie five points off the bottom – and points are required. Alan Smith	1	0.9992570877075195,0.006784558296203613
24	Hull City	West Brom	2	0	22/03/2014	14	Pepe Mel finally guided West Brom to victory in his eighth game by coming from behind at Swansea last weekend. But they must now build on that because, with Sunderland holding two games in hand, Mel's team are by no stretch of the imagination safe. Hull, with only one win in their past eight home league games, could still be dragged into the fight for survival, despite sitting 14th. West Brom would leapfrog Steve Bruce's team with a win, outlining how tightly bunched the bottom half of the table is. Alan Smith	1	-0.23473000526428223,0.034276872873306274
25	Newcastle United	Crystal Palace	1	0	22/03/2014	14	"The good news for struggling Palace is that Newcastle are without the injured Loïc Rémy for a seventh Premier League fixture this season. When the France striker, on loan from QPR, has been absent, Alan Pardew's team have lost five league games, drawn one and failed to score a single goal. ""Rémy's not our player but we struggle to score without him,"" acknowledged the one-time Palace midfielder who, because of a stadium ban, will watch the match on television at the training ground. Much may depend on if and when Hatem Ben Arfa is liberated from the home bench. Louise Taylor"	1	0,0.45096777379512787
26	Norwich City	Sunderland	2	0	22/03/2014	14	Another meeting of two sides struggling to keep their heads above water. Chris Hughton's future at Norwich is in a near constant state of doubt and if they are to maintain their Premier League status, they need results against the teams around them in the table. Sunderland, while third bottom, have games in hand due to their cup runs but that could yet prove their downfall as fixtures pile up. Alan Smith	1	-0.9994416832923889,-0.9984178841114044
27	West Ham United	Manchester United	0	2	22/03/2014	14	The picture is looking much brighter for Manchester United now. Wednesday's victory over Olympiakos in the Champions League has lifted the gloom for David Moyes after last Sunday's humiliation at home to Liverpool, although United will have to be at their best at Upton Park, a ground where they have often come unstuck. The doubts will return if United lose to West Ham, who are not quite clear of the relegation battle just yet. West Ham have lost their past two matches but this is unlikely to be easy for the champions. Jacob Steinberg	-1	-0.9683541655540466,0.8416330218315125
28	Aston Villa	Stoke City	1	4	23/03/2014	14	Aston Villa, buoyed by last week's surprise triumph over Chelsea, aim at Villa Park to make it three successive victories for the first time since October 2007. Hope can be taken from Stoke's poor away form – they have not won a league game outside the Potteries since August – and the fact that Charlie Adam and Jonathan Walters are suspended for the visitors and Stephen Ireland is ineligible. Anastasiia Tikhomirova	-1	0.9995319843292236,-0.9954066276550293
29	Tottenham Hotspur	Southampton	3	2	23/03/2014	14	Spurs restored some pride in the second half against Benfica on Thursday but, after the defeat by Arsenal last weekend, their aim of securing a Champions League place lies in tatters. Injuries have not helped Tim Sherwood's case but he will be desperate to end a four-game winless run at home to Southampton, whose England players remain determined to earn World Cup call-ups. Alan Smith	1	-0.9962688684463501,-0.9953435063362122
30	Arsenal	Manchester City	1	1	29/03/2014	14	Arsenal fans are worried, and little wonder. Injuries have hit and the team's confidence is fragile while they encounter a City side fresh from their humbling of Manchester United and who remain as most people's title favourites. Arsène Wenger has them down as the side to beat. Arsenal's manager might have to temper his natural instinct to get on to the front foot – City bite. The visitors still have to go to Liverpool but they see this as a key staging post. David Hytner	0	-0.4919525533914566,0.9951387345790863
31	Crystal Palace	Chelsea	1	0	29/03/2014	14	Victory in this derby may lack the resonance of last weekend's thrashing of Arsenal, but José Mourinho would still consider it critical. With Liverpool and Manchester City breathing down their necks, Chelsea can ill afford to slip up against a team without a win in five matches. Palace have scored only once, from a penalty, in that time, are without the injured Marouame Chamakh and have their eye on games with Cardiff and Aston Villa to come. Dominic Fifield	1	0.9974532723426819,-0.9992407858371735
32	Manchester United	Aston Villa	4	1	29/03/2014	14	David Moyes insists that the majority of Manchester United fans are behind him despite the midweek derby defeat and hiring of a plane by some to fly over Old Trafford to protest. The Scot concedes he needs to win matches so who knows what might occur if United go down to Villa in what would be a seventh home league defeat. That would be a club record in the Premier League era, beating the mark set just on Tuesday evening when City beat Moyes's side 3-0 and Sir Alex Ferguson was abused by some supporters. This is how dire proceedings currently are at the defending champions. Jamie Jackson	1	-0.585678905248642,0
33	Southampton	Newcastle United	4	0	29/03/2014	14	It says a lot about Southampton and Newcastle that there is likely to be more attention on the referee than them. Andre Marriner will be hoping for a quiet afternoon after his blunder during Chelsea's win over Arsenal last week and will be glad that Alan Pardew, whose stadium ban is over, is not allowed on the touchline yet. Newcastle's manager is looking forward to giving his team-talk after three matches away. But both sides are safe in mid-table, so this is likely to be a low-pressure affair. Jacob Steinberg	1	-0.24835854768753052,0.9923230409622192
34	Stoke City	Hull City	1	0	29/03/2014	14	With seven games to go, Stoke remain on track for a 10th-placed finish, their highest in the Premier League. Unsurprisingly, their home form has been the cornerstone of their relative success and with only two defeats at the Britannia all season, it would be quite surprising if Hull, who are similarly positioned in mid-table but could yet be dragged into a relegation fight, leave with a win. Alan Smith	1	0.9995003938674927,0.999309778213501
35	Swansea City	Norwich City	3	0	29/03/2014	14	Coming off the back of last week's 2-0 win against Sunderland, another victory could see Norwich go 10 points clear of the relegation zone. Despite being without a win in their last six league games, Swansea will have been buoyed by the late point they earned at Arsenal on Tuesday. Norwich have never lost to Swansea in the Premier League but their run of five consecutive away defeats makes this one hard to call. Romily Preston-Ellis	1	0.9947538375854492,0.002540290355682373
36	Fulham	Everton	1	3	30/03/2014	14	Fulham have seven matches to secure their Premier League survival and this threatens to be the hardest of the lot. Everton, with Ross Barkley and Romelu Lukaku seemingly revitalised after being rested by Roberto Martínez, appear to be gaining momentum and their pursuit of a Champions League spot means they will show no mercy to Felix Magath's men, who will likely have to produce their best performance of the season to avoid another defeat. Paul Doyle	-1	-0.9940012097358704,0.9946086406707764
37	Liverpool	Tottenham Hotspur	4	0	30/03/2014	14	Momentum is behind Liverpool in the title race, with Brendan Rodgers's team unbeaten in the Premier Lleague in 2014 and taking 32 points from the last 36 available. The tension surrounding Sunderland's visit on Wednesday did not stop a seventh consecutive win and memories of December's 5-0 thrashing of Tottenham, Liverpool's biggest ever win at White Hart Lane, offer assurance. Spurs have taken one point from seven games against the current top four this season, conceding 23 goals, and have won once in their last 19 league visits to Anfield. Andy Hunter	1	0.9995461106300354,0.997717022895813
38	Aston Villa	Fulham	1	2	05/04/2014	14	Fulham have not won at Villa Park in the Premier League but if they are to cling on to any chance of remaining at the top table next season they need that to change against an Aston Villa minus Christian Benteke, who ruptured an achilles tendon in training on Thursday to ruin his World Cup plans. Paul Lambert's team are unpredictable but with safety almost assured, expect them to score despite being without their main marksman against the league's most porous defence. Alan Smith	-1	0.9926827549934387,-0.9993773102760315
39	Chelsea	Stoke City	3	0	05/04/2014	14	Chelsea cannot afford to dwell on either their midweek defeat in Paris, or for that matter their loss at Crystal Palace seven days ago. A team that looked strong for so long are suddenly faltering on all fronts but this match offers José Mourinho's men a chance to at least re-establish themselves in the Premier League. Worryingly for the home side, they face a Stoke side in good form. Sachin Nakrani	1	0.002399742603302002,0.9997184872627258
40	Hull City	Swansea City	1	0	05/04/2014	14	Swansea currently shade Hull on goal difference after beating Norwich last time out but with both hovering seven points above the danger zone, a win for either should be enough to secure safety. Yet with the excitement building in advance of next weekend's FA Cup semi-final with Sheffield United expect Steve Bruce's starting XI to go all out to impress and secure their place at Wembley. Alan Smith	1	0.9994714856147766,0.9929720759391785
41	Manchester City	Southampton	4	1	05/04/2014	14	City remain favourites to win the title but Southampton should provide more of a challenge than the average visitor to the Etihad this season. Still, three points here would put Manuel Pellegrini's team a point behind Liverpool with the top two set to collide next weekend. Playing in the early kick-off also gives City the opportunity to put a little more pressure on Liverpool and Chelsea with a 14th home win in 15 games. Alan Smith	1	0.9983272552490234,0.9620190858840942
42	Newcastle United	Manchester United	0	4	05/04/2014	14	There was a time when this fixture involved two teams challenging for the title but on Saturday it is all about two managers under considerable scrutiny. While Alan Pardew – who admits he is struggling to motivate Newcastle's players – aims to compensate for last week's disappointing defeat at Southampton, David Moyes must balance the desire for points against potential European glory. With injuries depriving Pardew of several key individuals including Loïc Rémy, it will be interesting to see who he rests ahead of the Manchester United's decisive Champions League trip to Bayern Munich. Louise Taylor	-1	-0.8372634053230286,0.9993664622306824
43	Norwich City	West Brom	0	1	05/04/2014	14	Liverpool, Manchester United, Chelsea and Arsenal: Norwich's run-in is unenviable, making this and next week's trip to Fulham hugely important. Six points clear of the drop, a win over an increasingly desperate West Brom would put them in a good position. Norwich's home form is strong, with an unbeaten run stretching back to December, while West Brom's only win under Pepe Mel came on the road. Defeat for Albion will increase their fears. Alan Smith	-1	0.998147189617157,0.05286616086959839
44	Everton	Arsenal	3	0	06/04/2014	14	Everton's fate is in their hands. Victory over Arsenal would move the Blues, who have won their past five league matches, a point behind them with a game in hand and a top-four finish would be within touching distance. Arsenal have faltered in big matches and will need to defend far better than they did in their previous away match, when they were trounced 6-0 by Chelsea. The scars from that defeat are yet to heal and Everton sense this is their time. Jacob Steinberg	1	-0.7582508325576782,0.004137486219406128
45	West Ham United	Liverpool	1	2	06/04/2014	14	Liverpool are yet to show signs of choking in their charge for the title but West Ham have the potential to make life awkward for them. Upton Park has been a graveyard for potential champions in the past and for Liverpool the fear must be that they will come unstuck at the hands of two of their former players, Andy Carroll and Stewart Downing. West Ham's defence, which has kept 13 clean sheets this season, poses another problem - but Brendan Rodgers has Luis Suárez. Jacob Steinberg	-1	-0.8952601552009583,-0.16681131720542908
46	Tottenham Hotspur	Sunderland	5	1	07/04/2014	14	Tottenham will be looking to recover from their devastating defeat to Liverpool against a Sunderland side who have struggled for goals recently. Tim Sherwood may call up the Brazilian Paulinho, who is desperate to stake his place in the Spurs team in preparation for the World Cup. Sunderland need to gather points quickly if they are to escape relegation but they do possess two games in hand. Karl Cryer	1	0.044848233461380005,-0.8470954895019531
47	Crystal Palace	Aston Villa	1	0	12/04/2014	14	After two successive 3-0 victories, Crystal Palace could virtually assure their Premier League status by completing the double over Villa. Things are rarely that simple at Selhurst Park, however, and Tony Pulis will be wary of underestimating opponents lacking their leading scorer Christian Benteke but who have picked up more points away from home than any side in the bottom half. Ed Aarons	1	0.9764153361320496,0
48	Fulham	Norwich City	1	0	12/04/2014	14	"Who could have predicted at the start of the season that with five games remaining Felix Magath and Neil Adams would be in charge of Fulham and Norwich respectively? Yet here they are, preparing for a crucial game in the relegation struggle. Fulham, five points behind Norwich, won at Aston Villa last week and Darren Bent is available again. Adams insists his first match in charge since Chris Hughton's departure ""is not a decider"", but with Norwich's horrendous run-in, a defeat could be devastating. James Riach"	1	0.9981284141540527,-0.9985414743423462
49	Stoke City	Newcastle United	1	0	12/04/2014	14	Stoke have the league's best home record outside of the top five with two defeats (to Norwich and Liverpool), so when you consider Newcastle are haemorrhaging goals - conceding 11 without scoring in their past three outings - it would be a shock to see Mark Hughes' side slip to a third loss at the Britannia. Already closing in on their best Premier League finish, a win would move Stoke to within three points of Alan Pardew's troubled team. Alan Smith	1	0.9704606533050537,0
50	Sunderland	Everton	0	1	12/04/2014	14	"Gus Poyet and Roberto Martínez were once midfield team-mates at Real Zaragoza. Managerially their respective philosophies have much in common but, right now, their careers are on divergent trajectories. While Everton arrive with a Champions League place almost within touching distance, Poyet concedes it will ""take a miracle"" to save Sunderland from the Championship. As Martínez seeks revenge for the Wearsiders's unexpected 1-0 Boxing Day win at Goodison Park his old friend simply prays for a first league victory since February 1. Louise Taylor"	-1	0.9904695749282837,0.9318214654922485
51	West Brom	Tottenham Hotspur	3	3	12/04/2014	14	West Brom have still not won at home under Pepe Mel but it should also be noted that since he took over in January Manchester United are the only team to have won at the Hawthorns, with Everton, Liverpool and Chelsea managing only draws. Five points above the relegation zone, a first home win over an unpredictable Tottenham would go a long way to ensuring their safety. Alan Smith	0	-0.9784140586853027,0.9983190894126892
52	Liverpool	Manchester City	3	2	13/04/2014	14	Five more wins will see Liverpool crowned champions of England for the 19th time and for the first time since 1990. Easy to write, harder to accomplish. The visit of Manchester City presents arguably the toughest assignment left for Brendan Rodgers' side, although Chelsea also await, and victory at a seething Anfield would leave Manuel Pellegrini's side requiring a slip-up. City, however, with Sergio Agüero fit again, can wrestle control of the title should they inflict a first home defeat on Liverpool since September. Andy Hunter	1	0.9997923970222473,-0.046733200550079346
53	Swansea City	Chelsea	0	1	13/04/2014	14	By the time Chelsea kick-off in south Wales on Sunday they will have a greater understanding of the task at hand if they are to pip Liverpool and Manchester City to the title. A draw in the earlier game at Anfield would suit José Mourinho's team but a win for City would allow Chelsea to go top with three points against a Swansea side who are still fighting to confirm their top-flight status. Alan Smith	-1	0.9959090948104858,0.9986184537410736
54	Aston Villa	Southampton	0	0	19/04/2014	14	Aston Villa badly need to end a damaging week with the victory that would put their relegation fears to bed. The club's decision to suspend Ian Culverhouse, the assistant manager, and Gary Karsa, the head of football operations, on the back of a fourth successive defeat has left them in a state of turmoil. It is 13 years since Villa lost five league games on the spin. The visitors are also struggling, having lost three of their last four. Something has to give. Stuart James	0	-0.19341087341308594,0.325946311155955
55	Chelsea	Sunderland	1	2	19/04/2014	14	Manchester City's midweek toils against the division's bottom club should serve as a warning to Chelsea, who aspire to reclaim leadership of the division for one night at least with an onerous fixture list ahead. José Mourinho will balance his selection with the Champions League semi-finals to come and next weekend's trip to Liverpool stretching his squad's resources. Sunderland must seek to repeat their resounding 3-0 success of November 2010 in these parts, but they did eliminate a strong Chelsea team from the League Cup in December. Gus Poyet is back in familiar territory. He will be craving an unfamiliar result. Dominic Fifield	-1	-0.7561703622341156,0.026814579963684082
56	Newcastle United	Swansea City	1	2	19/04/2014	14	Two tense dressing rooms, two managers contemplating uncertain futures. If the St James' Park crowd would probably not forgive Alan Pardew for a fifth straight defeat, Swansea seem to have forgotten that their mantra is supposed to be all about passing to each other rather than infighting. If Garry Monk's side can retain possession for prolonged periods Newcastle fans are likely to be turn edgy so Pardew may persist with a back five and must pray the returning France striker Loïc Rémy can alter the narrative. Louise Taylor	-1	-0.9938818216323853,-0.9990279674530029
57	Tottenham Hotspur	Fulham	3	1	19/04/2014	14	Fulham won this fixture last season and what they would not give for the same again. The scrutiny that has been placed on the run-in has long since reached head-wrecking levels and, realistically, Fulham know that they need to win at home to Hull and Crystal Palace. But something here, against a team that seemingly cannot start matches properly, would be a delicious tonic in the battle to prolong their 13-year association with the Premier League. David Hytner	1	0,0.38587647676467896
58	West Ham United	Crystal Palace	0	1	19/04/2014	14	Tony Pulis and Sam Allardyce are often depicted as being from the same mould but while the West Ham manager has been booed by his own fans this season because of a lack of sparkling football, Pulis is basking in acclaim thanks to a run of four straight wins that has guaranteed Palace's survival and sees Jason Puncheon mounting a late push for an England World Cup call-up. West Ham will have their work cut out to send their fans home happy. Paul Doyle	-1	0.99810791015625,0.9811625480651855
59	Everton	Manchester United	2	0	20/04/2014	14	David Moyes brings a team he needs to rebuild to the home of one he built over 11 years and where he will hope to get a decent reception to recognise his galvanising of a club who in the 90s twice went to the final day before ensuring Premier League status. Everton are still smarting from the midweek home loss to Palace and looking for a first double over United since 1969-70. Mark Tallentire	1	0.9993380904197693,0.9989307522773743
60	Hull City	Arsenal	0	3	20/04/2014	14	After last weekend's Wembley exertions, this game is now an FA Cup final rehearsal, although both sides have some unfinished business to attend to before they can start thinking about 17 May. Hull need another win to kill off any lingering relegation fears while Arsène Wenger, having seen fourth place rapidly reclaimed from Everton in midweek, will very much want to stay there. Paul Chronnell	-1	-0.6771631836891174,-0.9909275770187378
61	Norwich City	Liverpool	2	3	20/04/2014	14	This match is the calm between the storms for Liverpool coming as it does after the win against Manchester City and before the visit of Chelsea, yet it is equally important for Brendan Rodgers' title-chasing side. Luis Suárez will relish the occasion given he has scored 11 times in his past four games against Norwich, who will be managed at home for the first time by Neil Adams. Sachin Nakrani	-1	0.9995840191841125,0.9990504384040833
62	Manchester City	West Brom	3	1	21/04/2014	14	By the time West Brom arrive at the Etihad Stadium on Monday evening, Manchester City will hope that both Sunderland and Norwich City have done them a big favour by defeating their title rivals, Chelsea and Liverpool. This is how desperate and how far Manuel Pellegrini's band of multi-millionaires have fallen: looking to the Premier League's bottom and 17th-placed teams to get them back in the race following the dismal draw with Sunderland on Wednesday. Jamie Jackson	1	-0.9997408986091614,0
63	Fulham	Hull City	2	2	26/04/2014	14	Despite last Saturday's untimely defeat at Tottenham, Fulham's relegation escape plan will stay on track if they can triumph in what looks like an eminently winnable home game. Hull are not safe yet but are limping to the line even with FA Cup final places to play for. Felix Magath will hope Scott Parker shakes off a hip problem as his side aim to climb out of the bottom three. Paul Chronnell	0	0.03362920880317688,-0.9994180202484131
64	Manchester United	Norwich City	4	0	26/04/2014	14	"Ryan Giggs's first of four outings as Manchester United's interim manager promises to be an emotional affair with the only anti-climax occurring if Norwich City were to win. The Welshman is aware of the danger the division's 17th-placed team present – ""They're fighting for their lives,"" he says – so expect a full-blooded assault on the visitors from first whistle to last before an Old Trafford crowd desperate for something to cheer. Jamie Jackson"	1	-0.8643335700035095,0
65	Southampton	Everton	2	0	26/04/2014	14	Everton's Champions League dream remains alive after last week's victory over Manchester United. They are a point behind fourth-placed Arsenal but they cannot afford a slip-up against Southampton, who will be encouraged by the news that Roberto Martinez's side will be without their first-choice centre-backs, Sylvain Distin and Phil Jagielka, through injury; Rickie Lambert will hope to capitalise on any unfamiliarity between Antolín Alcaraz and John Stones. However Southampton have injury problems of their own and are without a victory in their past three matches. Jacob Steinberg	1	-0.14467331767082214,0.9994317889213562
66	Stoke City	Tottenham Hotspur	0	1	26/04/2014	14	Despite taking seven points from their past three games, Tottenham are highly unlikely to have a chance of securing fourth place. A victory for Stoke will give them a first of five successive Premier League home wins, a record that the club and the manager, Mark Hughes, wholly deserve. A win will also virtually guarantee their place in the top 10 to cap a fine first season for the Welshman. Charlotte Trundley	-1	0.9997799694538116,-0.005888998508453369
67	Swansea City	Aston Villa	4	1	26/04/2014	14	Still without a win in five games, Villa's top-10 position just over a month ago is a distant memory. Only two wins better than bottom-placed Sunderland and without an away triumph since New Year's Day, Paul Lambert's team face a tough job against a Swansea side boosted by last Saturday's win at Newcastle. Their interim manager, Garry Monk, needs consistency in these final matches if he is to have any chance of the permanent position. Charlotte Trundley	1	-0.9896826446056366,-0.9985799789428711
